Tensão In (v),Tensão Out(v),1ª Tempo (s),2ª Tempo (s),3ª Tempo (s),4ª Tempo (s),5ª Tempo (s),Média,Vazão,Area do tanque,diametro,altura
"1,00",3,"34,120","33,940","35,660","33,860","32,780","34,072","11,38612097","15,518",,
"1,30","3,9","23,730","25,400","25,960","23,330","23,300","24,344","15,93607927","15,518",,
"1,60","4,8","18,940","19,750","19,390","19,310","19,050","19,288","20,11343393","15,518",,
"1,90","5,7","16,170","17,750","16,140","15,840","16,140","16,408","23,64382702","15,518",,
"2,20","6,6","14,950","14,230","14,070","14,760","15,400","14,682","26,42336968","15,518",,
"2,50","7,5","12,970","13,190","12,640","12,600","12,740","12,828","30,24227578","15,518",,
"2,80","8,4","11,990","11,500","11,390","11,410","11,570","11,572","33,52470737","15,518",,
"3,10","9,3",10.48,"10,440","11,450","10,350","10,360","10,650","36,42703415","15,518",,
"3,40","10,2","9,856","9,674","9,688","10,220","10,030","9,894","39,21200712","15,518",,
"3,70","11,1","9,778","9,294","8,812","9,018","9,004","9,181","42,25459784","15,518",,
"4,00",12,"8,414","8,950","8,436","8,766","8,604","8,634","44,93258208","15,518",,